CUSTID,COLLEGE,INCOME,OVERAGE,LEFTOVER,HOUSE,HANDSET_PRICE,OVER_15MINS_CALLS_PER_MONTH,AVERAGE_CALL_DURATION,REPORTED_SATISFACTION,REPORTED_USAGE_LEVEL,CONSIDERING_CHANGE_OF_PLAN,LEAVE
12606,one,22990,60,0,392928,238,5,12,very_sat,little,actively_looking_into_it,LEAVE
12607,zero,74897,0,11,244333,248,1,4,very_sat,little,no,STAY
12608,zero,25298,263,0,546175,196,28,11,avg,little,actively_looking_into_it,LEAVE
12609,zero,80920,64,32,234111,277,3,1,very_unsat,very_little,perhaps,LEAVE
12610,zero,21314,69,0,813217,144,5,6,very_unsat,little,considering,LEAVE
12612,zero,76184,196,0,525479,301,26,9,very_sat,little,no,LEAVE
12613,one,145387,182,35,281234,491,29,2,very_sat,little,actively_looking_into_it,LEAVE
12615,zero,111435,0,71,428106,621,0,2,very_unsat,very_little,actively_looking_into_it,LEAVE
12616,one,21842,48,0,394874,227,5,5,very_sat,little,actively_looking_into_it,LEAVE
12617,zero,32931,0,12,536702,236,0,5,very_sat,high,no,STAY
12618,one,112321,167,0,258652,796,15,10,very_sat,very_high,considering,LEAVE
12619,zero,35559,0,0,666179,138,0,2,very_sat,very_little,no,STAY
12620,one,151432,149,0,403646,577,13,9,avg,little,actively_looking_into_it,LEAVE
12621,zero,47252,0,0,166472,212,1,10,very_unsat,little,perhaps,STAY
12623,zero,72466,67,16,271182,262,5,5,unsat,little,actively_looking_into_it,LEAVE
12625,zero,149648,58,0,462736,811,5,8,unsat,very_little,considering,LEAVE
12626,zero,38869,57,0,206848,215,19,1,very_unsat,very_high,considering,LEAVE
12627,zero,31067,171,5,205507,219,12,5,very_unsat,high,actively_looking_into_it,LEAVE
12630,zero,52713,216,28,991166,303,17,2,very_sat,very_little,no,STAY
12632,one,143151,82,6,930293,667,23,4,very_sat,very_little,considering,LEAVE
12634,zero,46495,183,63,476474,176,25,1,very_unsat,very_little,no,LEAVE
12635,one,81896,0,6,995366,390,1,6,avg,avg,considering,STAY
12637,zero,153643,0,83,652377,861,0,1,very_sat,very_high,considering,STAY
12638,zero,102734,0,24,263279,809,1,4,avg,very_high,actively_looking_into_it,STAY
12640,zero,111154,0,22,924420,448,0,5,very_unsat,avg,actively_looking_into_it,STAY
12641,zero,139461,50,22,316280,515,4,5,very_sat,little,considering,LEAVE
12642,zero,22614,238,0,946740,179,18,14,very_unsat,very_high,considering,LEAVE
12643,zero,98104,0,88,177318,316,18,1,very_unsat,little,considering,LEAVE
12645,one,141681,0,24,155059,639,0,5,very_unsat,very_high,considering,STAY
12646,zero,51860,0,22,434354,573,1,5,very_sat,little,considering,STAY
12648,one,157488,229,11,580852,635,3,1,very_unsat,very_high,considering,LEAVE
12651,one,45345,126,29,786553,176,21,2,very_unsat,little,considering,STAY
12652,zero,40768,75,47,951986,155,4,2,unsat,little,considering,STAY
12655,one,99877,229,8,602814,398,0,4,sat,little,considering,STAY
12656,one,152317,0,0,801673,409,0,8,very_unsat,high,considering,LEAVE
12657,one,98363,243,25,660153,358,24,1,unsat,avg,actively_looking_into_it,STAY
12658,zero,73354,204,44,170565,611,12,2,avg,high,considering,LEAVE
12659,one,49098,0,0,230034,233,1,8,unsat,very_little,actively_looking_into_it,STAY
12661,one,157562,62,63,439930,491,1,2,unsat,very_little,considering,LEAVE
12662,one,97815,158,11,388225,284,12,4,very_sat,little,no,STAY
12664,one,116138,177,0,375359,799,17,13,unsat,little,no,LEAVE
12665,zero,141710,49,0,284416,202,3,9,unsat,little,actively_looking_into_it,LEAVE
12666,one,55273,0,11,785771,391,0,4,very_sat,little,no,STAY
12669,zero,135963,51,0,428696,771,4,11,unsat,little,considering,LEAVE
12670,zero,137122,0,29,254370,895,0,1,avg,very_little,considering,LEAVE
12671,one,49360,264,79,956754,189,21,1,unsat,little,considering,STAY
12675,one,21779,0,0,221624,192,1,13,unsat,very_high,actively_looking_into_it,LEAVE
12676,one,24431,221,12,773625,154,21,4,very_sat,very_high,considering,STAY
12678,one,143642,0,0,215779,536,0,13,very_sat,little,actively_looking_into_it,STAY
12679,one,107463,49,10,326908,472,3,5,very_sat,very_high,never_thought,STAY
12682,one,23533,0,0,536775,134,1,9,sat,little,considering,LEAVE
12683,zero,32298,32,0,296967,197,4,4,very_unsat,high,considering,LEAVE
12684,zero,116474,45,15,555008,540,4,5,very_sat,very_high,actively_looking_into_it,LEAVE
12685,zero,145581,63,12,400398,696,3,5,very_sat,very_little,no,STAY
12687,zero,93099,51,63,935727,278,5,2,avg,little,perhaps,STAY
12688,zero,119000,17,0,289399,667,4,10,avg,very_little,no,LEAVE
12690,one,100985,166,52,477502,554,5,1,sat,little,considering,LEAVE
12693,zero,86184,47,7,270305,331,5,11,unsat,little,no,STAY
12696,zero,26225,79,16,426383,154,5,1,very_unsat,high,actively_looking_into_it,STAY
12697,one,126497,0,7,798073,452,1,6,avg,very_little,never_thought,LEAVE
12698,one,141625,186,43,362950,533,19,2,unsat,little,never_thought,LEAVE
12699,zero,52983,150,11,389655,355,23,4,very_unsat,little,considering,LEAVE
12700,one,79266,72,0,170708,293,5,11,very_unsat,very_high,actively_looking_into_it,LEAVE
12701,one,129259,0,0,181285,567,1,15,very_unsat,little,considering,LEAVE
12702,one,42791,160,0,498162,205,22,8,unsat,little,never_thought,LEAVE
12703,one,147358,50,63,793559,810,3,1,unsat,very_high,no,LEAVE
12704,one,78322,0,0,385627,159,0,8,avg,avg,no,STAY
12705,one,27879,194,29,464565,230,22,2,very_sat,very_little,no,LEAVE
12707,one,139206,196,0,972085,836,15,11,very_unsat,high,actively_looking_into_it,STAY
12708,zero,111756,19,53,332005,442,5,1,unsat,avg,no,STAY
12709,one,159718,87,0,698719,379,1,9,very_sat,little,no,STAY
12710,one,64751,169,14,704461,370,21,6,very_unsat,avg,actively_looking_into_it,STAY
12711,zero,37919,155,46,382147,292,24,1,very_unsat,very_little,no,LEAVE
12712,zero,74934,82,0,453330,365,3,13,very_sat,little,actively_looking_into_it,LEAVE
12713,zero,41791,160,0,800394,162,28,10,very_sat,very_high,no,STAY
12714,zero,106521,0,6,694085,646,0,6,avg,little,considering,STAY
12717,zero,159236,69,0,405084,813,5,8,very_unsat,very_little,actively_looking_into_it,STAY
12720,one,40963,186,9,782542,195,10,5,very_sat,high,actively_looking_into_it,STAY
12721,one,150133,172,64,618331,776,18,2,unsat,avg,considering,STAY
12722,zero,53654,0,0,798762,363,0,9,very_unsat,little,considering,STAY
12725,one,68213,203,79,230927,376,28,2,unsat,very_high,actively_looking_into_it,STAY
12728,zero,32266,0,0,401956,146,1,11,avg,very_high,actively_looking_into_it,LEAVE
12729,one,99803,199,67,296908,360,13,2,very_sat,high,actively_looking_into_it,LEAVE
12730,zero,29946,217,0,823153,248,24,10,very_sat,little,no,STAY
12732,one,80338,24,60,551850,354,3,11,very_unsat,little,considering,STAY
12733,zero,63938,188,0,274224,359,5,15,very_unsat,little,never_thought,LEAVE
12734,one,113385,0,0,333599,819,1,6,very_unsat,very_high,considering,LEAVE
12735,one,117741,0,17,340070,493,0,4,very_unsat,very_little,no,STAY
12736,zero,81654,0,7,662859,381,1,6,very_unsat,avg,actively_looking_into_it,STAY
12737,zero,100623,63,5,788597,710,1,4,very_unsat,little,considering,LEAVE
12738,one,30067,62,5,828833,154,3,4,avg,little,actively_looking_into_it,STAY
12740,one,64360,48,19,973489,357,5,5,very_unsat,little,considering,STAY
12741,zero,59309,85,66,937567,523,4,2,very_sat,very_high,no,STAY
12742,zero,56292,186,0,562230,365,19,9,very_sat,very_little,considering,LEAVE
12743,one,22374,227,12,349983,130,17,4,very_sat,little,no,STAY
12745,one,35802,211,16,317611,219,5,4,very_sat,little,actively_looking_into_it,STAY
12746,one,93104,219,15,533862,293,10,4,very_unsat,little,no,LEAVE
12747,one,25353,200,0,975702,232,19,11,very_unsat,avg,considering,STAY
12750,zero,34402,208,0,278718,248,21,10,very_unsat,little,considering,STAY
12752,one,86131,40,21,263948,311,5,5,unsat,very_little,no,LEAVE
12753,one,145191,183,0,780137,539,22,8,very_sat,very_high,no,LEAVE
12754,zero,29489,53,0,603267,199,3,14,very_sat,very_little,considering,STAY
12755,one,31655,54,0,605944,144,0,9,very_sat,very_little,considering,STAY
12756,zero,136061,126,0,669011,887,26,15,unsat,little,perhaps,STAY
12757,zero,62578,70,19,157719,373,5,4,very_sat,little,actively_looking_into_it,STAY
12759,zero,82764,56,83,272339,331,5,1,very_unsat,very_little,considering,LEAVE
12760,zero,48619,233,0,217156,207,21,8,avg,little,considering,STAY
12761,zero,136977,65,0,405110,400,3,11,very_sat,very_little,actively_looking_into_it,LEAVE
12763,zero,44178,0,0,207722,181,1,2,sat,high,perhaps,STAY
12764,zero,83436,0,23,621613,380,1,6,sat,high,actively_looking_into_it,STAY
12765,zero,39213,179,10,188279,178,12,4,very_unsat,very_little,considering,LEAVE
12766,one,26816,0,48,958901,210,1,2,very_sat,high,no,STAY
12767,zero,59570,191,88,183330,217,26,4,very_unsat,little,no,LEAVE
12769,one,46059,209,10,511918,159,14,6,avg,very_high,no,LEAVE
12770,zero,157725,205,19,775093,448,28,6,sat,little,no,LEAVE
12771,one,76178,0,0,555722,287,0,15,very_unsat,high,considering,STAY
12772,one,42333,52,19,254382,132,13,4,very_unsat,very_high,no,LEAVE
12773,zero,74193,58,0,854252,396,5,11,very_sat,little,never_thought,LEAVE
12775,one,149314,230,43,609476,533,20,2,avg,high,considering,LEAVE
12778,one,33199,0,0,905338,193,0,13,very_sat,very_high,considering,LEAVE
12779,zero,27534,245,0,209172,177,25,13,unsat,very_high,considering,LEAVE
12780,one,143790,185,0,910123,427,17,13,very_unsat,little,considering,LEAVE
12782,one,22283,39,70,153739,196,3,1,avg,little,actively_looking_into_it,LEAVE
12784,one,63734,0,0,336914,257,20,14,unsat,very_little,considering,STAY
12785,zero,68684,224,48,717641,263,21,1,very_unsat,very_little,no,STAY
12786,one,139517,0,31,619876,405,1,2,very_unsat,little,considering,STAY
12788,zero,109471,77,0,717896,847,24,9,sat,little,considering,STAY
12790,zero,68466,52,0,310726,253,4,10,very_sat,little,considering,STAY
12792,one,45852,66,18,298151,314,4,4,unsat,very_little,never_thought,STAY
12793,zero,70338,139,7,832574,284,23,5,very_sat,very_little,actively_looking_into_it,STAY
12794,one,78825,224,0,798572,471,19,10,very_unsat,little,actively_looking_into_it,STAY
12796,one,115879,238,44,176950,516,27,2,avg,high,never_thought,LEAVE
12797,zero,106199,246,0,429496,165,28,11,avg,very_high,perhaps,LEAVE
12798,one,131717,205,84,562874,630,24,1,very_unsat,high,perhaps,LEAVE
12804,zero,79357,170,13,902065,250,27,4,unsat,little,no,LEAVE
12805,zero,49902,232,23,752622,165,16,5,very_unsat,little,considering,STAY
12806,one,154330,48,0,919902,488,4,10,very_unsat,avg,considering,LEAVE
12809,zero,25528,0,7,196573,238,0,6,avg,little,considering,STAY
12812,one,40741,83,0,443704,158,4,14,unsat,little,no,LEAVE
12814,one,30867,75,0,927967,208,5,10,avg,high,actively_looking_into_it,LEAVE
12815,one,106257,229,46,526926,766,27,1,very_sat,high,considering,LEAVE
12816,one,68645,92,0,683511,303,4,15,very_unsat,very_high,actively_looking_into_it,STAY
12817,zero,24320,0,35,384404,178,0,2,very_unsat,little,actively_looking_into_it,LEAVE
12819,one,103854,0,13,178637,825,5,4,avg,little,never_thought,STAY
12821,one,55678,51,0,849374,320,4,12,unsat,high,considering,STAY
12822,zero,40445,72,30,234971,199,3,2,avg,very_little,considering,STAY
12823,zero,50218,205,13,386443,385,21,4,sat,high,perhaps,LEAVE
12824,one,38499,196,16,473037,242,14,4,very_unsat,high,no,LEAVE
12826,zero,38456,0,18,221333,201,0,6,very_unsat,little,no,STAY
12829,zero,33924,211,0,572785,144,29,9,very_sat,very_little,actively_looking_into_it,LEAVE
12833,zero,66219,88,89,303764,366,1,2,unsat,very_high,considering,STAY
12835,one,40413,0,68,211430,176,1,1,very_sat,very_little,never_thought,STAY
12836,zero,24699,44,34,970110,239,4,6,very_unsat,very_high,considering,LEAVE
12840,zero,98877,62,59,447096,302,5,2,very_unsat,little,considering,LEAVE
12844,zero,57708,62,57,885260,384,0,2,very_sat,very_little,no,LEAVE
12845,one,28471,207,0,522977,148,1,12,very_unsat,little,considering,STAY
12846,one,71147,0,8,772080,307,1,6,very_sat,avg,actively_looking_into_it,LEAVE
12847,one,135639,0,0,633673,845,0,11,very_sat,very_little,no,STAY
12849,zero,51222,188,0,332773,343,23,8,very_sat,high,considering,LEAVE
12850,one,20964,207,0,368659,148,12,6,very_sat,little,actively_looking_into_it,LEAVE
12851,zero,123037,0,0,331471,154,0,10,very_unsat,little,no,LEAVE
12852,one,66382,57,39,224996,306,4,1,very_sat,little,considering,LEAVE
12854,one,57207,55,52,240141,314,4,2,very_unsat,very_high,never_thought,LEAVE
12855,one,54783,46,39,176731,311,14,1,unsat,very_high,actively_looking_into_it,LEAVE
12857,one,28890,0,0,352765,145,0,14,unsat,avg,considering,LEAVE
12859,zero,124725,178,50,523340,626,13,2,very_unsat,little,actively_looking_into_it,STAY
12860,zero,23652,254,84,530229,218,14,1,unsat,very_little,actively_looking_into_it,LEAVE
12861,one,158002,206,0,978800,674,28,8,very_unsat,very_high,actively_looking_into_it,LEAVE
12863,zero,38757,250,16,177435,194,22,10,very_unsat,high,considering,LEAVE
12864,one,138378,41,0,493061,613,4,8,very_sat,very_high,never_thought,LEAVE
12865,zero,131060,202,0,706378,516,21,9,very_unsat,little,no,LEAVE
12869,zero,139728,154,0,178845,556,27,15,unsat,very_high,no,STAY
12870,one,72819,47,0,647547,290,4,10,very_unsat,very_little,considering,STAY
12871,one,105341,0,0,904856,544,12,15,unsat,very_high,actively_looking_into_it,STAY
12872,one,133093,185,0,558826,737,29,12,very_sat,little,no,LEAVE
12873,zero,100996,217,8,277177,668,12,6,very_sat,little,considering,LEAVE
12875,one,46552,176,20,367716,183,27,6,very_unsat,avg,considering,STAY
12877,one,98199,0,88,198892,398,0,1,very_sat,little,considering,LEAVE
12878,one,108359,75,8,193417,688,4,5,avg,little,no,LEAVE
12879,zero,55378,79,16,896400,303,3,5,very_sat,high,actively_looking_into_it,STAY
12880,one,155919,163,22,468439,630,19,5,avg,little,no,LEAVE
12881,one,146675,0,11,333267,451,1,5,sat,little,considering,STAY
12882,one,44384,36,11,640432,133,4,6,sat,little,no,STAY
12883,zero,65075,53,83,322515,289,3,2,very_unsat,little,considering,LEAVE
12884,one,81142,185,0,337902,330,28,14,very_unsat,little,never_thought,LEAVE
12885,one,120929,215,17,195065,642,10,4,very_unsat,little,considering,LEAVE
12886,zero,95685,0,61,173045,274,0,1,very_sat,very_little,no,LEAVE
12887,one,72991,180,16,444171,298,25,5,very_unsat,very_high,never_thought,STAY
12890,zero,82323,202,0,198503,259,19,13,unsat,very_high,actively_looking_into_it,STAY
12891,zero,86391,0,12,710657,385,0,6,very_unsat,very_high,considering,LEAVE
12894,zero,26197,235,0,510187,145,25,9,avg,very_high,no,STAY
12897,one,58056,0,21,925859,352,0,4,very_sat,very_high,no,STAY
12899,zero,50441,206,0,232061,257,24,8,very_unsat,very_high,actively_looking_into_it,LEAVE
12900,one,84215,219,25,751350,347,24,2,very_unsat,little,no,STAY
12901,zero,81930,186,13,410293,269,27,6,very_sat,little,actively_looking_into_it,STAY
12902,one,157156,0,44,767004,408,1,1,unsat,very_little,perhaps,STAY
12903,zero,135654,62,0,237053,568,5,13,very_sat,very_little,never_thought,LEAVE
12904,one,113275,58,0,866129,599,4,1,unsat,very_high,considering,LEAVE
12905,one,153460,267,0,336178,858,4,14,very_unsat,very_high,no,LEAVE
12906,zero,155209,65,0,952892,595,3,11,very_sat,little,considering,STAY
12907,zero,99264,73,38,861653,277,4,1,unsat,very_high,considering,LEAVE
12908,zero,30649,234,0,161165,218,25,8,unsat,little,considering,LEAVE
12909,one,32660,0,0,771727,155,1,15,very_sat,very_high,actively_looking_into_it,STAY
12913,one,140481,51,23,518074,838,3,5,very_unsat,very_high,considering,STAY
12914,zero,42925,193,58,553957,158,17,2,very_unsat,little,considering,STAY
12917,zero,27902,101,5,730579,179,5,4,very_sat,very_little,no,STAY
12918,one,31799,238,44,246763,232,20,1,very_sat,very_little,considering,LEAVE
12919,one,52259,56,17,858324,291,5,5,very_unsat,little,considering,STAY
12920,one,31001,217,0,273604,216,14,11,unsat,very_little,perhaps,LEAVE
12921,one,153388,212,39,715210,820,10,2,very_sat,little,considering,LEAVE
12922,one,53423,163,31,179954,264,0,8,unsat,high,considering,LEAVE
12923,one,89739,0,18,833382,338,0,6,very_unsat,avg,actively_looking_into_it,STAY
12924,one,27888,0,14,589066,226,0,6,avg,little,perhaps,STAY
12925,zero,39223,221,61,425143,237,24,2,very_unsat,little,actively_looking_into_it,LEAVE
12926,zero,39100,62,0,611734,177,3,13,very_sat,little,considering,STAY
12928,one,83856,0,48,186423,338,1,2,very_unsat,high,actively_looking_into_it,LEAVE
12929,zero,148690,0,71,371758,165,3,2,very_unsat,high,considering,LEAVE
12930,one,34161,230,13,419428,221,18,6,unsat,little,considering,STAY
12931,one,28718,60,23,448022,170,3,5,very_sat,little,actively_looking_into_it,LEAVE
12932,zero,96897,0,0,918261,296,1,9,very_sat,little,considering,STAY
12933,one,111693,49,34,270059,664,3,1,avg,very_high,actively_looking_into_it,LEAVE
12934,one,146610,54,17,474497,863,3,4,very_sat,little,considering,LEAVE
12935,one,124670,217,48,751126,705,1,2,unsat,little,considering,LEAVE
12936,zero,108724,59,0,511251,803,4,15,avg,little,actively_looking_into_it,STAY
12937,zero,157424,155,13,604005,420,14,6,very_sat,very_little,considering,LEAVE
12939,one,87382,213,68,819653,339,10,1,very_unsat,very_high,considering,LEAVE
12940,zero,91546,205,10,311712,273,24,4,very_unsat,little,considering,STAY
12941,one,36353,184,10,191211,174,5,6,unsat,very_little,considering,LEAVE
12942,zero,53861,88,11,390176,315,3,6,unsat,little,perhaps,STAY
12943,one,57066,0,17,399496,187,1,6,avg,little,considering,STAY
12946,zero,82222,64,9,571656,288,3,1,sat,very_high,actively_looking_into_it,LEAVE
12947,one,34094,0,44,186869,288,1,1,unsat,little,no,STAY
12948,zero,32601,47,0,288924,211,3,13,very_unsat,little,considering,STAY
12949,zero,48191,40,65,191663,230,4,2,very_unsat,very_little,actively_looking_into_it,STAY
12951,one,45953,221,35,911122,168,10,1,very_sat,avg,considering,STAY
12952,zero,116559,0,19,458241,467,1,4,unsat,very_high,considering,STAY
12953,zero,129633,50,74,566489,450,3,2,very_unsat,little,never_thought,LEAVE
12954,one,100577,29,0,175534,708,5,8,unsat,high,considering,LEAVE
12956,zero,35209,186,0,769668,140,18,6,very_sat,very_little,actively_looking_into_it,STAY
12957,zero,84496,197,37,243837,281,29,2,very_unsat,little,no,STAY
12959,one,35146,58,0,229779,231,5,5,very_unsat,very_high,considering,LEAVE
12960,zero,73773,0,0,885373,894,1,14,very_unsat,little,actively_looking_into_it,STAY
12961,one,91146,0,74,870447,267,1,1,very_sat,very_high,considering,STAY
12962,zero,66984,0,8,670150,313,1,4,unsat,very_little,considering,LEAVE
12963,zero,28843,175,6,244238,234,11,4,very_unsat,high,considering,LEAVE
12964,one,109865,78,0,196086,861,5,6,very_sat,very_little,actively_looking_into_it,LEAVE
12966,zero,25866,0,78,462322,190,0,1,very_sat,little,actively_looking_into_it,STAY
12969,one,154262,0,0,428674,496,0,14,sat,avg,no,STAY
12970,zero,58340,175,10,299070,323,1,6,unsat,very_high,considering,LEAVE
12971,zero,43086,181,34,818266,130,27,2,very_unsat,very_high,actively_looking_into_it,STAY
12973,zero,98236,42,0,458814,342,21,11,very_unsat,little,actively_looking_into_it,LEAVE
12975,zero,37809,0,49,394982,154,1,2,avg,high,no,LEAVE
12976,one,106937,212,23,321651,468,19,6,unsat,little,actively_looking_into_it,LEAVE
12977,zero,142925,53,13,990926,745,4,5,very_unsat,little,no,STAY
12978,one,148715,64,11,153362,877,4,4,very_unsat,very_high,no,STAY
12979,one,20835,199,0,996717,217,10,8,very_sat,very_high,no,STAY
12982,zero,36713,206,25,275044,188,11,2,unsat,little,actively_looking_into_it,LEAVE
12983,one,66931,63,0,631790,285,3,12,very_sat,very_little,considering,LEAVE
12985,zero,121033,0,47,256477,534,4,2,very_unsat,little,actively_looking_into_it,STAY
12987,zero,51252,165,12,173320,290,27,13,very_sat,high,never_thought,LEAVE
12991,one,72724,0,28,420778,280,1,1,unsat,little,never_thought,STAY
12992,zero,108536,176,0,980845,416,16,11,avg,very_high,never_thought,LEAVE
12993,one,35628,55,23,857588,192,5,4,very_unsat,very_high,no,LEAVE
12994,zero,24438,56,0,563453,201,4,9,very_unsat,high,considering,LEAVE
12995,zero,139583,179,9,324473,683,17,6,very_sat,little,considering,LEAVE
12996,one,37674,0,89,658523,222,0,6,avg,very_high,no,LEAVE
12997,zero,154126,188,13,689467,769,28,6,unsat,little,considering,LEAVE
12998,zero,86098,247,0,590338,257,27,15,very_unsat,very_high,considering,LEAVE
12999,zero,84786,0,19,461748,357,1,5,very_unsat,very_little,no,STAY
13004,one,101903,62,0,244807,417,0,13,unsat,very_high,actively_looking_into_it,LEAVE
13005,one,20962,0,0,408394,194,0,9,very_sat,high,no,LEAVE
13006,one,108161,46,41,196650,548,5,1,very_unsat,very_little,perhaps,STAY
13008,one,22344,0,0,498989,205,1,14,very_sat,little,never_thought,STAY
13009,one,87215,0,7,154858,351,1,5,sat,very_high,considering,STAY
13010,zero,41930,0,26,201286,209,1,2,very_unsat,little,considering,LEAVE
13011,one,36408,204,7,415116,247,19,4,very_sat,little,considering,STAY
13012,zero,56410,178,0,740386,393,18,9,very_unsat,very_little,never_thought,STAY
13013,zero,79639,0,37,336630,328,1,2,very_unsat,very_little,never_thought,LEAVE
13014,zero,128403,52,24,169357,764,3,2,unsat,little,considering,STAY
13016,one,131945,54,74,922739,848,5,2,very_unsat,very_little,no,STAY
13018,one,72996,207,13,326356,298,21,5,avg,little,actively_looking_into_it,LEAVE
13019,one,88948,0,0,618241,380,0,13,very_unsat,little,considering,STAY
13020,one,29069,0,57,370641,209,0,1,very_unsat,little,considering,LEAVE
13021,zero,135618,188,18,799885,463,23,5,unsat,very_high,considering,LEAVE
13022,one,21858,159,14,337654,137,18,4,very_sat,little,actively_looking_into_it,STAY
13023,zero,121743,0,87,241183,493,0,2,very_sat,very_high,no,LEAVE
13024,zero,32449,63,7,172010,142,4,4,very_unsat,very_little,considering,STAY
13027,zero,94960,0,78,435706,479,1,2,avg,little,no,STAY
13029,zero,128142,17,25,978751,819,3,2,very_sat,very_high,considering,STAY
13030,zero,56650,0,0,200509,357,0,11,very_unsat,very_high,actively_looking_into_it,STAY
13031,zero,111721,54,0,968561,670,3,13,unsat,little,actively_looking_into_it,STAY
13032,zero,126733,0,49,330877,740,0,2,avg,little,considering,LEAVE
13033,one,35504,0,0,166857,154,0,10,very_unsat,little,considering,STAY
13035,zero,96269,145,0,384671,378,17,15,unsat,very_little,considering,LEAVE
13037,one,59641,0,77,671241,302,1,10,very_unsat,little,considering,LEAVE
13038,one,59535,246,84,958893,378,24,2,very_unsat,very_little,considering,STAY
13039,one,23199,219,0,229223,137,20,6,very_sat,little,no,LEAVE
13040,zero,82466,0,0,999996,294,0,11,unsat,very_high,no,STAY
13042,one,122054,147,66,496863,700,18,1,very_unsat,little,considering,LEAVE
13045,zero,117369,0,24,657109,725,1,4,very_sat,very_little,actively_looking_into_it,STAY
13046,one,93124,195,81,724508,388,10,1,unsat,very_high,considering,STAY
13048,one,114653,56,64,289593,764,26,1,very_unsat,little,considering,LEAVE
13049,zero,66695,0,0,903674,380,1,9,avg,high,never_thought,STAY
13051,one,62790,42,6,691592,377,3,4,unsat,very_high,never_thought,STAY
13052,one,44535,0,83,595172,206,29,2,very_sat,high,considering,LEAVE
13053,zero,70465,19,72,506311,360,5,2,very_sat,very_little,actively_looking_into_it,STAY
13054,one,138731,145,5,371313,270,19,6,very_unsat,little,actively_looking_into_it,STAY
13056,one,28415,74,64,725345,218,4,1,unsat,very_little,considering,STAY
13060,one,108586,0,29,943974,712,0,1,avg,little,no,LEAVE
13061,one,23124,69,6,916261,198,5,6,very_sat,very_high,considering,LEAVE
13062,zero,63362,0,0,698246,175,1,8,very_unsat,very_little,actively_looking_into_it,STAY
13063,zero,20420,0,78,255282,154,12,2,very_unsat,little,no,LEAVE
13065,zero,88378,202,0,214431,131,13,15,unsat,little,no,LEAVE
13066,one,45806,40,0,217641,158,4,11,very_unsat,very_little,considering,LEAVE
13068,one,30839,58,0,198625,184,3,14,very_sat,little,considering,LEAVE
13069,one,36612,58,0,456577,140,3,9,avg,very_high,never_thought,LEAVE
13071,one,152719,35,0,994246,870,4,13,avg,very_high,no,STAY
13073,zero,20710,0,35,240441,164,0,2,very_unsat,little,actively_looking_into_it,STAY
13074,zero,28446,171,13,216854,208,0,5,unsat,little,actively_looking_into_it,STAY
13075,one,106649,219,45,952181,530,19,1,very_unsat,high,considering,LEAVE
13076,one,82811,40,76,323500,402,3,1,unsat,little,never_thought,STAY
13077,one,35525,52,0,394520,235,3,8,very_sat,avg,actively_looking_into_it,STAY
13078,zero,69703,70,35,457658,385,4,2,very_sat,little,considering,STAY
13079,zero,133659,0,80,555315,569,1,2,very_unsat,little,considering,LEAVE
13081,zero,62943,0,0,747680,266,1,10,avg,very_high,considering,LEAVE
13083,zero,29174,73,9,764860,229,4,4,very_sat,little,never_thought,LEAVE
13084,zero,73761,53,0,584253,398,0,15,sat,little,actively_looking_into_it,LEAVE
13085,one,142772,0,62,834167,870,1,1,very_sat,little,perhaps,LEAVE
13087,zero,27243,0,0,463462,203,1,12,unsat,little,actively_looking_into_it,STAY
13088,zero,122327,65,7,249688,829,3,4,sat,little,never_thought,LEAVE
13089,zero,81196,0,86,538464,227,0,2,unsat,little,actively_looking_into_it,LEAVE
13092,zero,150781,92,0,438498,889,4,15,very_unsat,little,considering,LEAVE
13094,zero,48717,61,35,530492,221,4,8,unsat,little,actively_looking_into_it,LEAVE
13095,one,35995,228,0,625476,154,5,11,avg,little,never_thought,LEAVE
13096,zero,91352,77,44,431809,385,3,1,very_unsat,little,considering,STAY
13097,zero,46850,53,58,258689,517,4,2,very_sat,little,considering,LEAVE
13098,one,43699,0,22,424679,230,0,4,very_unsat,very_high,considering,LEAVE
13100,zero,83227,0,33,406021,395,10,1,unsat,very_little,never_thought,LEAVE
13102,zero,24195,171,0,609413,240,14,11,very_unsat,very_high,actively_looking_into_it,STAY
13103,zero,101578,91,31,278894,669,5,1,unsat,very_little,perhaps,LEAVE
13104,zero,71279,0,0,172674,348,0,14,very_unsat,very_high,actively_looking_into_it,LEAVE
13107,zero,44213,79,0,356097,218,3,10,very_unsat,very_high,no,LEAVE
13110,zero,145842,208,73,366639,636,28,1,very_unsat,very_high,no,STAY
13111,zero,60720,0,0,282062,291,1,11,avg,little,no,LEAVE
13112,one,55581,0,20,834103,689,1,4,unsat,very_high,perhaps,STAY
13114,zero,72108,56,24,299158,285,12,4,unsat,little,actively_looking_into_it,LEAVE
13115,zero,27399,0,0,867358,161,1,11,very_unsat,little,never_thought,STAY
13117,one,31297,0,7,287631,175,0,5,unsat,little,perhaps,STAY
13118,zero,127795,71,71,823618,482,5,1,very_sat,very_high,actively_looking_into_it,STAY
13119,one,54538,56,42,275668,288,4,5,sat,little,considering,LEAVE
13121,zero,130529,0,39,185299,550,0,2,very_unsat,very_high,considering,STAY
13125,zero,44423,0,18,253940,409,1,6,very_unsat,avg,considering,STAY
13126,zero,100049,0,0,971673,712,4,15,very_unsat,little,actively_looking_into_it,STAY
13127,zero,111569,0,5,264882,428,1,4,very_unsat,very_little,considering,STAY
